sale_id,store_id,product_id,product_name,customer_id,quantity,unit_price,total_amount,sale_date,country
SAL-20260525-0001,S001,P001,Laptop,C001,1,999.99,999.99,2026-05-25,Germny
SAL-20260525-0002,S001,P003,Keyboard,C007,2,89.99,179.98,2026-05-25,Germ@ny
SAL-20260525-0003,S002,P002,Mouse,C007,3,29.99,89.97,2026-05-25,GERMANY
SAL-20260525-0004,S002,P005,Headset,C001,1,79.99,79.99,2026-05-25,Germ@ny
SAL-20260525-0005,S003,P001,Laptop,C002,1,999.99,999.99,2026-05-25,Sp@in
SAL-20260525-0006,S003,P005,Headset,C002,2,79.99,159.98,2026-05-25,Spian
SAL-20260525-0007,S004,P004,Monitor,C004,1,449.99,449.99,2026-05-25,Franc3
SAL-20260525-0008,S004,P002,Mouse,C004,4,29.99,119.96,2026-05-25,Frnace
SAL-20260525-0009,S005,P001,Laptop,C003,2,999.99,1999.98,2026-05-25,Jap@n
SAL-20260525-0010,S005,P003,Keyboard,C003,1,89.99,89.99,2026-05-25,JAP4N
SAL-20260525-0011,S006,P005,Headset,C005,3,79.99,239.97,2026-05-25,U.K.
SAL-20260525-0012,S006,P002,Mouse,C005,5,29.99,149.95,2026-05-25,Untied Kingdom
SAL-20260525-0013,S001,P004,Monitor,C006,1,449.99,449.99,2026-05-25,Portug4l
SAL-20260525-0014,S006,P003,Keyboard,C008,1,89.99,89.99,2026-05-25,Un1ted Kingdom
