sale_id,store_id,product_id,product_name,customer_id,quantity,unit_price,total_amount,sale_date,country
SAL-20260527-0001,S001,P002,Mouse,C001,5,29.99,149.95,2026-05-27,Germny
SAL-20260527-0002,S001,P003,Keyboard,C007,3,89.99,269.97,2026-05-27,Germ@ny
SAL-20260527-0003,S002,P001,Laptop,C007,1,999.99,999.99,2026-05-27,GERMANY
SAL-20260527-0004,S003,P002,Mouse,C002,8,29.99,239.92,2026-05-27,Sp@in
SAL-20260527-0005,S003,P005,Headset,C002,1,79.99,79.99,2026-05-27,Spain
SAL-20260527-0006,S004,P003,Keyboard,C004,2,89.99,179.98,2026-05-27,Fr@nce
SAL-20260527-0007,S004,P002,Mouse,C004,3,29.99,89.97,2026-05-27,Franc3
SAL-20260527-0008,S005,P001,Laptop,C003,1,999.99,999.99,2026-05-27,Jap@n
SAL-20260527-0009,S005,P002,Mouse,C003,7,29.99,209.93,2026-05-27,JAPAN
SAL-20260527-0010,S006,P004,Monitor,C005,2,449.99,899.98,2026-05-27,U.K.
SAL-20260527-0011,S007,P002,Mouse,C009,4,29.99,119.96,2026-05-27,Uni+ed Kingdom
SAL-20260527-0012,S007,P001,Laptop,C010,1,999.99,999.99,2026-05-27,Mexic0
